Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,-1.60000673705524,-1.16918700397552,2.80434074839411,4.12231962001739
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,-8.89677952309607,9.93680136363695,5.34196183115412,3.71500566060664
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,-6.14347479224092,11.3339570691911,2.05874008095333,0.218780666901552
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,2.23863835634639,8.44846941687277,2.95066992959268,5.24955786387791
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,-7.18591413760859,10.8011981904878,7.2888838865514,0.610409565791542
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Comoros,COM,-0.195556827149787,2.00016198933761,2.60301031927843,2.99567457175966
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Dem. Rep.",COD,1.73542276681493,6.20015401075946,8.92444762563109,8.56086250904089
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Congo, Rep.",COG,-6.26777227963225,1.01507036990908,1.47535613247133,1.90686426346754
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Costa Rica,CRI,-4.27335432161462,7.93576224743147,4.55149177958398,5.11192183224598
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cote d'Ivoire,CIV,0.699728593494228,7.06332910205232,6.2178509127107,6.199999999987
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,-8.31164257884687,12.6317003277712,7.28793643206565,3.30254488086325
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,-10.9490846048862,1.25369342501311,1.77485399483382,-1.92899211214875
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Curacao,CUW,-18.4384703505393,4.18371193053579,6.90599999999999,4.20199999999977
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cyprus,CYP,-3.22063433575047,11.3877633552,7.36562252428676,2.61190090914745
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czechia,CZE,-5.30487954551279,4.02901830633854,2.84717065717149,-0.085330275927376
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,-1.7801059882175,7.38206628977555,1.54017310709567,2.49518433148894
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Djibouti,DJI,1.31636324158441,4.52234774643705,3.72857647005031,6.67664964361434
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominica,DMA,-16.6041095231221,6.8905494167316,5.58354626264079,4.71223818531963
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Dominican Republic,DOM,-6.72023937283404,12.2719902347896,4.85832403582451,2.36061568723294
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ecuador,ECU,-9.24509637743429,9.818417748417,6.18613907258741,2.35521790742197
